,feature,importance,feature_type
374,mean_20170804T081559_B05,3,mean_B05
375,mean_20170804T081559_B06,14,mean_B06
376,mean_20170804T081559_B08,3,mean_B08
377,mean_20170804T081559_NDVI,16,mean_NDVI
378,mean_20170819T082011_B02,4,mean_B02
379,mean_20170819T082011_B03,5,mean_B03
380,mean_20170819T082011_B04,6,mean_B04
381,mean_20170819T082011_B05,8,mean_B05
382,mean_20170819T082011_B06,0,mean_B06
383,mean_20170819T082011_B08,2,mean_B08
384,mean_20170819T082011_NDVI,21,mean_NDVI
385,median_20170101T082332_B02,4,median_B02
386,median_20170101T082332_B03,5,median_B03
387,median_20170101T082332_B04,3,median_B04
388,median_20170101T082332_B05,4,median_B05
389,median_20170101T082332_B06,25,median_B06
390,median_20170101T082332_B08,3,median_B08
391,median_20170101T082332_NDVI,3,median_NDVI
392,median_20170131T082151_B02,6,median_B02
393,median_20170131T082151_B03,7,median_B03
394,median_20170131T082151_B04,1,median_B04
395,median_20170131T082151_B05,6,median_B05
396,median_20170131T082151_B06,7,median_B06
397,median_20170131T082151_B08,5,median_B08
398,median_20170131T082151_NDVI,4,median_NDVI
399,median_20170210T082051_B02,1,median_B02
400,median_20170210T082051_B03,0,median_B03
401,median_20170210T082051_B04,6,median_B04
402,median_20170210T082051_B05,1,median_B05
403,median_20170210T082051_B06,10,median_B06
404,median_20170210T082051_B08,1,median_B08
405,median_20170210T082051_NDVI,3,median_NDVI
406,median_20170312T082001_B02,1,median_B02
407,median_20170312T082001_B03,5,median_B03
408,median_20170312T082001_B04,1,median_B04
409,median_20170312T082001_B05,12,median_B05
410,median_20170312T082001_B06,4,median_B06
411,median_20170312T082001_B08,2,median_B08
412,median_20170312T082001_NDVI,0,median_NDVI
413,median_20170322T081611_B02,4,median_B02
414,median_20170322T081611_B03,10,median_B03
415,median_20170322T081611_B04,3,median_B04
416,median_20170322T081611_B05,3,median_B05
417,median_20170322T081611_B06,26,median_B06
418,median_20170322T081611_B08,3,median_B08
419,median_20170322T081611_NDVI,3,median_NDVI
420,median_20170531T082011_B02,3,median_B02
421,median_20170531T082011_B03,7,median_B03
422,median_20170531T082011_B04,7,median_B04
423,median_20170531T082011_B05,1,median_B05
424,median_20170531T082011_B06,6,median_B06
425,median_20170531T082011_B08,5,median_B08
426,median_20170531T082011_NDVI,4,median_NDVI
427,median_20170620T082011_B02,0,median_B02
428,median_20170620T082011_B03,1,median_B03
429,median_20170620T082011_B04,8,median_B04
430,median_20170620T082011_B05,5,median_B05
431,median_20170620T082011_B06,4,median_B06
432,median_20170620T082011_B08,2,median_B08
433,median_20170620T082011_NDVI,1,median_NDVI
434,median_20170710T082011_B02,0,median_B02
435,median_20170710T082011_B03,3,median_B03
436,median_20170710T082011_B04,0,median_B04
